Run,Jobs,Optimal_Safe,Optimal_Unsafe,Low_Safe,Low_Unsafe,High_Safe,High_Unsafe,CA_MOT_Safe,CA_MOT_Unsafe,Uncertainty_Safe,Uncertainty_Unsafe
298,20,17.999999999999996,2.0000000000000036,12.000000000000002,7.999999999999998,17.999999999999996,2.0000000000000036,17.999999999999996,2.0000000000000036,17.999999999999996,2.0000000000000036
298,21,18.68023255813953,2.3197674418604706,12.6,8.4,16.92209302325581,4.077906976744188,18.68023255813953,2.3197674418604706,18.020930232558136,2.979069767441864
298,22,19.369565217391305,2.6304347826086953,13.2,8.8,16.571739130434782,5.428260869565218,19.369565217391305,2.6304347826086953,18.72391304347826,3.276086956521741
298,23,20.032258064516128,2.967741935483872,13.800000000000002,9.199999999999998,17.138709677419353,5.861290322580647,19.883870967741938,3.116129032258062,19.364516129032257,3.635483870967743
299,11,9.9,1.0999999999999996,6.6,4.4,9.9,1.0999999999999996,9.9,1.0999999999999996,9.9,1.0999999999999996
299,12,10.8,1.1999999999999993,7.199999999999999,4.800000000000001,10.8,1.1999999999999993,10.8,1.1999999999999993,10.8,1.1999999999999993
299,13,11.700000000000001,1.299999999999999,7.8,5.2,11.700000000000001,1.299999999999999,11.700000000000001,1.299999999999999,11.700000000000001,1.299999999999999
299,14,12.6,1.4000000000000004,8.4,5.6,12.6,1.4000000000000004,12.6,1.4000000000000004,12.6,1.4000000000000004
299,15,13.499999999999998,1.5000000000000018,9.0,6.0,13.499999999999998,1.5000000000000018,13.499999999999998,1.5000000000000018,13.499999999999998,1.5000000000000018
299,16,14.4,1.5999999999999996,9.599999999999998,6.400000000000002,14.4,1.5999999999999996,14.4,1.5999999999999996,14.4,1.5999999999999996
299,17,15.3,1.6999999999999993,10.2,6.800000000000001,15.3,1.6999999999999993,15.3,1.6999999999999993,15.3,1.6999999999999993
299,18,16.2,1.8000000000000007,10.799999999999999,7.200000000000001,16.2,1.8000000000000007,16.2,1.8000000000000007,16.2,1.8000000000000007
299,19,17.1,1.8999999999999986,11.399999999999997,7.600000000000003,17.1,1.8999999999999986,17.1,1.8999999999999986,17.1,1.8999999999999986
299,20,18.000000000000004,1.9999999999999964,11.999999999999996,8.000000000000004,18.000000000000004,1.9999999999999964,18.000000000000004,1.9999999999999964,18.000000000000004,1.9999999999999964
